tweet_id,likes,user_likes,date_time,retweets
847971574464610304,0,146140,2017-04-01 00:39:12,425
847962785489326080,23170,146140,2017-04-01 00:04:17,4983
847842811428974592,5353,146140,2017-03-31 16:07:33,1303
847617282490613760,6887,146140,2017-03-31 01:11:22,406
847606175596138505,18519,146140,2017-03-31 00:27:14,3372
847251039262605312,20236,146140,2017-03-30 00:56:03,4246
847157206088847362,19632,146140,2017-03-29 18:43:12,5756
847116187444137987,21193,146140,2017-03-29 16:00:12,3127
846874817362120707,19835,146140,2017-03-29 00:01:05,3868
846514051647705089,44052,146140,2017-03-28 00:07:32,11366
846505985330044928,13933,146140,2017-03-27 23:35:28,3027
846153765933735936,31216,146140,2017-03-27 00:15:53,8898
846139713627017216,30685,146140,2017-03-26 23:20:02,9868
846042936437604353,15798,146140,2017-03-26 16:55:29,2826
845812042753855489,28895,146140,2017-03-26 01:38:00,8569
845677943972139009,24916,146140,2017-03-25 16:45:08,4731
845397057150107648,7552,146140,2017-03-24 22:08:59,1778
845306882940190720,23092,146140,2017-03-24 16:10:40,5319
845098359547420673,0,146140,2017-03-24 02:22:04,7542
844979544864018432,13497,146140,2017-03-23 18:29:57,2521
844973813909606400,14925,146140,2017-03-23 18:07:10,3147
844580511645339650,16323,146140,2017-03-22 16:04:20,3083
844223788422217728,13528,146140,2017-03-21 16:26:50,2170
843981021012017153,15054,146140,2017-03-21 00:22:10,2911
843856843873095681,21272,146140,2017-03-20 16:08:44,4568
843604394117681152,16742,146140,2017-03-19 23:25:35,2713
843235543001513987,21341,146140,2017-03-18 22:59:54,5959
842846295480000512,15169,146140,2017-03-17 21:13:10,3597
842765311967449089,6676,146140,2017-03-17 15:51:22,1266
842535590457499648,17978,146140,2017-03-17 00:38:32,3472
842163532590374912,24256,146140,2017-03-16 00:00:07,5730
842115215311396866,13880,146140,2017-03-15 20:48:07,3005
841833993020538882,0,146140,2017-03-15 02:10:39,14919
841680585030541313,25564,146140,2017-03-14 16:01:03,7749
841439858740625411,12558,146140,2017-03-14 00:04:30,3659
841320156043304961,19674,146140,2017-03-13 16:08:50,5460
841314665196081154,15750,146140,2017-03-13 15:47:01,4613
841077006473256960,22723,146140,2017-03-13 00:02:39,5268
840761248237133825,0,146140,2017-03-12 03:07:56,1753
840728873075638272,0,146140,2017-03-12 00:59:17,16006
840698636975636481,174,146140,2017-03-11 22:59:09,2
840696689258311684,12220,146140,2017-03-11 22:51:24,966
840632337062862849,8948,146140,2017-03-11 18:35:42,1753
840370681858686976,16375,146140,2017-03-11 01:15:58,4508
840268004936019968,19167,146140,2017-03-10 18:27:58,5682
839990271299457024,13358,146140,2017-03-10 00:04:21,2261
839549326359670784,27356,146140,2017-03-08 18:52:12,7693
